prouctName, brand, features, shipping
ASUS ROG Strix GeForce RTX 2080 Ti DirectX 12 ROG-STRIX-RTX2080TI-11G-GAMING Video Card , ASUS , Core Clock: 1350 MHz | Max Resolution: 7680 x 4320 | DisplayPort: 2 x DisplayPort 1.4 | HDMI: 2 x HDMI 2.0b | Model #: RTX2080TI-11G-GAMING | Item #: N82E16814126080 |  , Free Shipping
EVGA GeForce RTX 2070 SUPER BLACK GAMING |  08G-P4-3071-KR , EVGA , Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Card Dimensions (L x H): 10.62" x 4.38" | Model #: 08G-P4-3071-KR | Item #: N82E16814487456 |  , Free Shipping
GIGABYTE GeForce RTX 2070 Super GAMING OC 3X 8G Graphics Card |  GV-N207SGAMING OC-8GD , GIGABYTE , Core Clock: 1815 MHz | Max Resolution: 7680 x 4320 @ 60 Hz | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Model #: GV-N207SGAMINGOC-8GD | Item #: N82E16814932212 |  , Free Shipping
Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI) |  100411P8GOCL , Sapphire Tech , Max Resolution: DisplayPort 1.4: 5120 x 2880 @ 60 Hz | HDMI: 4096 x 2160 @ 60 Hz | DL-DVI-D: 2560 x 1600 @ 60 Hz | DisplayPort: 2 x DisplayPort 1.4 | DVI: 1 x DL-DVI-D | HDMI: 2 x HDMI | Model #: 100411P8GOCL | Item #: N82E16814202278 |  , Free Shipping
MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super Armor OC Video Card , MSI , Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Card Dimensions (L x H): 11.69" x 5.63" | Model #: 2070 Super Armor OC | Item #: N82E16814137446 |  , Free Shipping
ASRock Radeon RX 5700 XT DirectX 12 RX 5700 XT CHALLENGER D 8G OC Video Card , ASRock , Core Clock: 1650 MHz | Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Model #: 5700XTCHALLENGERD8GO | Item #: N82E16814930020 |  , Free Shipping
EVGA GeForce RTX 2080 SUPER XC GAMING Video Card |  08G-P4-3182-KR |  8GB GDDR6 , EVGA , Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Card Dimensions (L x H): 10.62" x 4.38" | Model #: 08G-P4-3182-KR | Item #: N82E16814487464 |  , Free Shipping
XFX RS XXX Edition Radeon RX 570 DirectX 12 RX-570P427D6 4GB OC+ 1284 MHz XFX Custom Backplate 256-Bit DDR5 PCI Express 3.0 CrossFireX Support Video Card , XFX , Core Clock: 1284 MHz (OC+ Capable Clock) | 1264 MHz (XFX True Clock) | 1168 MHz (AMD Reference) | Max Resolution: 4096 x 2160 | DisplayPort: 3 x DisplayPort 1.4 | DVI: 1 x DL-DVI-D | Model #: RX-570P427D6 | Item #: N82E16814150795 |  , Free Shipping
GIGABYTE Radeon RX 590 DirectX 12 GV-RX590GAMING-8GD Rev. 2.0 Video Card , GIGABYTE , Core Clock: OC mode: 1560 MHz | Gaming mode: 1545 MHz | Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort | HDMI: 1 x HDMI | Model #: GV-RX590GAMING-8GDR2 | Item #: N82E16814932222 |  , Free Shipping
MSI GeForce RTX 2080 SUPER DirectX 12 RTX 2080 Super Gaming X TRIO Video Card , MSI , Max Resolution: 7680 x 4320 | DisplayPort: 3 x DisplayPort 1.4 | HDMI: 1 x HDMI 2.0b | Card Dimensions (L x H): 12.91" x 5.51" | Model #: 2080SuperGamingXTrio | Item #: N82E16814137442 |  , Free Shipping
ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-O8G-GAMING Video Card , ASUS , Core Clock: 1410 MHz | Max Resolution: 7680 x 4320 | DisplayPort: 2 x DisplayPort 1.4 | HDMI: 2 x HDMI 2.0b | Model #: RTX2070-O8G-GAMING | Item #: N82E16814126266 |  , Free Shipping
ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card , ZOTAC , Core Clock: 1506 MHz | DisplayPort: 3 x DisplayPort 1.4 | DVI: 1 x DL-DVI-D | HDMI: 1 x HDMI 2.0b | Model #: ZT-P10620A-10M | Item #: N82E16814500454 |  , Free Shipping
